handle,amazon_title,asin,review_count,verdict,reason
2006-2009-dodge-ram-1500-2500-3500-mesh-front-grille-matte-black,"Matte Black Mesh Front Hood Bumper Grill Grille Guard ABS Compatible With 06-08 Dodge Ram 1500/06-09 2500 3500",B07XSFBVTF,1,KEEP,Part type matches (mesh front grille / matte black). ASIN covers 06-08 Ram 1500 and 06-09 2500/3500; handle slug says 2006-2009 across all three. The 1500 ends 2008 in the ASIN title vs 2009 in the handle — 1-year overshoot on 1500 only; no generation change within that window. Finish matches (matte black). Review confirms 2008 Ram 1500 install.
07-14-chevy-tahoe-suburban-avalanche-front-grille-matte-black,"Glossy Black Mesh Front Hood Bumper Grill Grille Guard ABS 1 Piece Design Compatible With 07-13 Chevy Avalanche / 07-14 Tahoe Suburban",B084SNMBLC,3,NEEDS_REMAP,FINISH MISMATCH + YEAR EDGE: Handle slug says matte-black; ASIN title says Glossy Black. These are separate finish SKUs with different part numbers. Review R2G4XKZ5ZAMVO0 explicitly says bottom clips do not fit 2012 Avalanche — fitment complaint within the stated range. ASIN covers Avalanche to 2013 and Tahoe/Suburban to 2014; handle extends to 2014 for all three which overshoots Avalanche by 1 year (Avalanche was discontinued after 2013). If Shopify product is matte-black this is a wrong ASIN; if glossy this is a slug error. Either way requires human resolution before ship.
88-98-chevy-c10-ck-crystal-headlights-led-bar-bumper-corners-8pc-black,"Black Clear Housing Projector Headlights With Halo LED k2 + Bumper Signal Lights yd + Corner Parking Lamp yd Compatible With 94-00 Chevy C10 C/K Pickup / 94-98 Silverado / 94-99 Suburban / 95-99 Tahoe",B00R16TZL6,6,NEEDS_REMAP,YEAR RANGE MISMATCH — HANDLE STARTS 6 YEARS EARLY: Handle slug says 88-98; ASIN covers 94-00. A buyer with an 88-93 C10/C-K will receive a non-fitting headlight set. The 88-93 OBS used a completely different headlight bucket geometry than the 94-00 refresh. All 6 reviews reference 94-00 era trucks (94 K1500, 98 Tahoe, 99 Tahoe). Fuzzy-match score 0.41 flagged this correctly. Correct handle start year to 1994 or source an ASIN that explicitly covers 88-93.
2007-2019-bmw-x5-x6-class-3-trailer-hitch-black-13077,"Class 3 III Black 2"" Receiver Tube Rear Bumper Trailer Tow Hitch Towing Mount Compatible with 07-18 BMW X5 E70 F15 / 14-19 X6 F86",B01IS10K0M,5,KEEP,Part type matches (Class 3 / 2-inch receiver hitch). Vehicle matches (BMW X5 X6). Handle year 2007-2019 correctly spans 07-18 X5 and 14-19 X6 from ASIN. Reviews confirm X5 installs on 2010 E70 and 2016 F15 platforms with detailed notes. Carry-over from cycle 14BD audit — verdict unchanged.
1999-2006-chevy-silverado-tahoe-suburban-front-grille-matte-black,"Glossy Black Mesh Front Hood Bumper Grill Grille Guard Conversion Compatible With 99-02 Chevy Silverado 1500 2500/00-06 Tahoe Suburban",B07LC2GCK7,5,NEEDS_REMAP,FINISH MISMATCH: Handle slug says matte-black; ASIN title says Glossy Black. Separate finish SKUs. Also ASIN covers Silverado 99-02 only while handle extends to 2006 for Silverado — the 03-06 GMT800 Silverado has different grille opening geometry than the 99-02 classic body. A 2004 Silverado buyer would receive a non-fitting glossy grille. Review RTKVM4GCPTKUP documents bottom-clip fitment failure. Fuzzy score 0.45 flagged. Requires finish correction and Silverado year-end correction to 2002 or sourcing correct 03-06 ASIN.
09-22-dodge-ram-1500-bull-guard-w-mesh-skid-plate-matte-black,"Matte Black OE Honeycomb Mesh Front Hood Bumper Grill Grille Guard ABS Compatible With 13-18 Dodge Ram 1500/19-24 Classic",B07YGNWMYJ,3,NEEDS_REMAP,YEAR TRUNCATION + CROSS-ASIN PHOTO BLEED: ASIN covers 2013-2024 Classic; handle slug starts 09 implying 2009-2012 DS-gen Ram 1500 is covered — but this ASIN explicitly starts 2013. A 2009-2012 Ram buyer receives a non-fitting grille guard. Additionally review R32ZZFM8MS4P6P image is prefixed B07DFCZSC2 (a different ASIN) — cross-ASIN photo contamination confirmed. That review must be stripped from the published set regardless of remap outcome. Correct handle start year to 2013 and source a separate ASIN for 09-12 DS-gen if needed. Fuzzy score 0.43.
1994-2002-dodge-ram-1500-2500-3500-front-grille-black,"Glossy Black Vertical Front Hood Bumper Grill Grille Guard ABS Compatible With 94-01 Dodge Ram 1500/94-02 2500 3500",B077MNWQXP,4,KEEP,Part type matches (vertical front grille / glossy black). Vehicle matches. 1-year edge: ASIN ends 2001 for 1500 vs handle 2002 — not a generation difference; DR-body Ram ran through 2001 for 1500. Reviews confirm Ram grille install. Carry-over from cycle 14BD audit — verdict unchanged.
99-07-silverado-sierra-1500-bull-guard-mesh-skid-plate-matte-black,"Matte Black AVT Style Bull Bar Brush Push Front Bumper Grill Grille Guard with Skid Plate Compatible with 99-07 Chevy Silverado GMC Sierra / 00-06 Suburban Tahoe Yukon 1500",B078P878D8,3,KEEP,Part type matches (bull bar / brush guard with skid plate / matte black). Vehicle and year range match. Reviews confirm Silverado and 2003 Suburban Z71 installs within stated range. Carry-over from cycle 14BD audit — verdict unchanged.
2014-2021-toyota-tundra-full-led-projector-headlights-black-amber,"Sequential Black Housing Full LED Quad Projector Headlights Signal Lamps Amber Reflector nb Compatible With 14-21 Toyota Tundra",B07VLPXWBH,3,KEEP,Part type matches (full LED projector headlights / black housing / amber reflector). Vehicle and year range match exactly. Reviews confirm 2014 and 2016 Tundra installs with before/after photos. New handle not in cycle 14BD audit.
2004-2024-nissan-titan-crew-cab-4-oval-side-step-bars-matte-black,"4"" Oval Bent End Black Side Step Nerf Bars Rail Running Boards Compatible with 15-22 Ford F150 SuperCrew / 17-22 F250 F350 F450 F550 Superduty Crew Cab",B0832K18QL,4,DROP,WRONG VEHICLE ENTIRELY: Handle = 2004-2024 Nissan Titan Crew Cab. ASIN B0832K18QL = 2015-2022 Ford F150 SuperCrew and F250-F550 Superduty Crew Cab. Ford nerf bar brackets do not interchange with Nissan Titan frame geometry under any circumstance. Review R3VAJTY64NV110 explicitly says 2019 Ford F-150 SuperCrew confirming Ford fitment. Also has cross-ASIN photo bleed: review R210ZLOG8OOKW9 image prefixed B07R34CZ9R (different ASIN). Fuzzy score 0.47. Carry-over from cycle 14BD audit — was flagged as step-size mismatch but vehicle mismatch is the primary defect. DROP; source correct Nissan Titan crew cab ASIN.
